Parent Organization,Subsidiary Organization,Acronym,Org Type,Country of origin,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Name/Type of response,Capacity,Organization Website,Organization Facebook,Organization Twitter,Donation Links,News and Source Links
Telecom San Frontieres,,,NGO - International,International,Shelter & NFI,Food Security,,,,Providing food and tarps in Sindhupalchowk. ,,http://www.sebsonline.org/info/,https://www.facebook.com/sebsonline,https://twitter.com/sebsonline,http://www.sebsonline.org/misc/donate.aspx?c=NepalQuakeRelief,https://docs.google.com/spreadsheets/d/18mYPr4zIl4zzUrKdrfe0hECRrWFumnke-dUWsxucZQw/edit#gid=1056245383
Terre des Hommes International Federation,,TDHIF,NGO - International,International,Education,Protection,,,,"-The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. 
-Terre des Hommes International Federation is an international children's rights umbrella organization-their involvment is not confirmed here.",,http://www.terredeshommes.org/,,https://twitter.com/TerredesHommesI,,
Tewa,,,NGO - Local,Nepal,Early Recovery,Assessments,,,,"Tewa’s partners are on the ground in 65 out of 75 districts in Nepal out of which 12 districts are critically affected. The partners affected by this disaster are using their local knowledge and skills to help their communities including women, girls and children to build their self confidence and coping skills. (Focus is also being placed on meeting the needs of the dalit community.) Supplies including bottled water and mats are being delivered. Tewa teams are also talking to the non-profit Nepal Orthopedic Hospital (in Jorpati) about how they can best help needy patients in coordination with hospital administration.

Tewa receives regular grant funding from Global Fund for Women and AJWS. Fundraising for their responses to the earthquake is being done through GFW and donations directly to their bank. They have also received additional funds from AJWS.
Address: Dhapakhel Rd, Dhapakhel 44700, Nepal",,http://www.tewa.org.np/site/index.php,https://www.facebook.com/TewaFundforWomen,https://twitter.com/TewaNepal,http://campaign.justgiving.com/charity/globalfundcf/helptewa?fb_ref=campaign%2Cshare%2Cfacebook%2Csupport,"https://www.facebook.com/TewaFundforWomen
http://www.tewa.org.np/site/index.php#"
The International Emergency Management Society,,TIEMS,NGO - International,India,Assessments,,,,,Expert mass fatalities management,,http://tiems.info/,https://www.facebook.com/TIEMSociety,https://twitter.com/TIEMS_ORG,,
The Salvation Army,,,NGO - International,USA,Shelter & NFI,WASH,Nutrition,,,"Emergency response teams from The Salvation Army are on the ground in Nepal. Response efforts are focused on providing shelter, hydration and emotional and spiritual care. The India Eastern Territory, which oversees Salvation Army work in Nepal, is sourcing food, water and other essentials, which it hopes to transport by road by the end of the week. As the disaster unfolds, The Salvation Army’s emergency response will shift to long-term relief and recovery solutions.",,http://www.salvationarmyusa.org,https://www.facebook.com/SalvationArmyUSA,https://twitter.com/salvationarmyus,https://donate.salvationarmyusa.org/sawso/nepal-earthquake-disaster-relief,"http://www.salvationarmyusa.org/usn/news/Salvation_Army_Responds_to_Devastating_Earthquake_in_Nepal
http://www.salvationarmyusa.org/usn/news/Salvation_Army_Emergency_Response_Teams_Serving_Immediate_Need_in_Nepal"
The Standby Task Force,,SBTF,NGO - International,Virtual,Assessments,,,,,Volunteers from SBTF are mapping reports of damage and requests for assistance that have been shared online. The volunteers of the Standby Task Force generated this report.,,http://blog.standbytaskforce.com/,https://www.facebook.com/StandbyTaskForce,https://twitter.com/SBTaskForce,,http://www.technologyreview.com/news/537036/online-fact-checking-tool-gets-a-big-test-with-nepal-earthquake/
The Umbrella Foundation,,,NGO - Local,Nepal,Protection,Camp Coordination,,,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,,,,,http://www.ain.org.np/member_ingos.php
The White Zone,,,Corporation,USA,Early Recovery,,,,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,,,,http://thewhitezone.org/component/fabrik/form/18,https://docs.google.com/spreadsheets/d/18mYPr4zIl4zzUrKdrfe0hECRrWFumnke-dUWsxucZQw/edit#gid=1056245383
Translators Without Borders,,TWB,NGO - International,Virtual,Assessments,,,,,"TWB team has been working to translate documents issued by the first response aid agencies, including UNOCHA, the ICRC, Humanity Road, Standby Task Force and the Communicating with Disaster Affected Communities Network (CDAC-N)",,http://translatorswithoutborders.org/,https://www.facebook.com/translatorswithoutborders,https://twitter.com/TranslatorsWB,http://translatorswithoutborders.org/Donors,http://www.irinnews.org/report/101421/can-you-hear-me-now-why-good-communication-is-critical-to-the-nepal-quake-response
Tree of Compassion,,,NGO - International,United Kingdom,Animal Rescue,,,,,Tree of Compassion has a disaster relief team on the ground in Khatmandu to help animals.,,http://www.treeofcompassion.org/,,,,"http://www.treeofcompassion.org/
HumanityRoad SitRep"
Triangle G.H.,,,NGO - International,France,Health,Food Security,Early Recovery,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,http://www.trianglegh.org/index_en.html,,,,
UAViators,,,NGO - International,International,Assessments,,,,,"UAViators, the humanitarian UAV network has three US teams that are looking to deploy to Nepal in the next 24-72 hours. A local team in Kathmandu is looking to use their quadcopter in the next 24 hours. Three additional UAV teams in the US, Europe and Australia are on standby. For more info: www.uaviators.org",,http://uaviators.org/,NA,https://twitter.com/UAViators_,,"http://uaviators.org/ops/nepal-earthquake-april-2015
http://crasar.org/2015/04/26/nepal-recommendations-for-small-uavs/"
UDay Foundation,,UDAY,NGO - Local,Nepal,Early Recovery,,,,,"As of April 26, ""Starting relief basecamp at Sri Aurobindo Centre at Checkpost, Thankot P. O. Box: 1993, Kathmandu, Nepal."" (Source: https://twitter.com/udayfoundation/status/592263680596643840)",,http://www.udayfoundationindia.org/,https://www.facebook.com/Uday.Foundation,https://twitter.com/udayfoundation/,,
UN Cluster System,Camp Coordination and Camp Management Cluster,CCM,UN Agency,International,Camp Coordination,,,,,"As of OCHA SitRep #8 on May 3:
Needs:
 Assessments in Shankarpur municipality in Sankhu revealed a high level of destruction with internally displaced people (IDPs) scattered around the town and sharing communal tents with up to 100 people per tent.
 In Bhaktapur, there are 10,700 IDPs with the largest camp hosting 2,500 IDPs. The camps urgently need food, emergency shelter and regular water supply.
Response:
 Daily camp management and mapping of IDP needs in camps and spontaneous settlements are ongoing in the Kathmandu Valley. Results of IDP profiling have been shared with clusters to support response.
Gaps & Constraints:
 Analysis of internal migration trends which will enable planning of assistance for urban IDPs moving to rural villages is still lacking.",,,,,,http://reliefweb.int/sites/reliefweb.int/files/resources/OCHANepalEarthquakeSituationReportNo8%281May2015%29.pdf
UN Cluster System,Cash Working Group,CWG,UN Agency,International,Early Recovery,,,,,"On 30 April, the first meeting of the Cash Coordination Group (CCG) brought together key agencies that are interested to undertake cash transfer programming (CTP), including cash-for-work, unconditional and conditional CTP as a modality of assistance/intervention. For partners interested to join more information is available on the CCG webpage. ",,https://www.humanitarianresponse.info/en/operations/nepal/cash-working-group,,,,
UN Cluster System,Early Recovery Cluster,,UN Agency,International,Early Recovery,,,,,"As of OCHA SitRep #8 on May 3:
Needs:
 Debris management is required to enable continued search and rescue and humanitarian relief operations.
 Restoring community infrastructure to deliver public services is essential.
 Cash-for-work activities in support of emergency livelihoods would be of benefit to the recovery of affected communities.
Response:
 To coordinate and support early recovery activities, the Ministry of Federal Affairs and Local Development assigned focal points in each district to assist the local development officers to implement funds released for relief and recovery assistance.
 Volunteers have been mobilized to support government engineers to assess structural integrity of houses and public buildings in order to facilitate the return of the displaced and resumption of basic social services.
 The Ministry of Federal Affairs and Local Development has appointed a joint secretary to each electoral constituency and each district.
Gaps & Constraints:
 Many of the local government personnel, who have been affected by the earthquake, have still not reported to duty which causes delays to delivery of basic social services.
 Monitoring and accountability mechanisms of district, village and municipal monitoring supervision committees need to be strengthened.",,,,,,
UN Cluster System,Education Cluster,,UN Agency,International,Education,,,,,"As of OCHA SitRep #8 on May 3:
Needs:
 The Cluster is working with the Department of Education to further assess damage to educational infrastructure in 13 of the worst affected districts.
Response:
 The Education and Protection clusters have now established 10 Child Friendly Spaces (CFS) in camp sites in Kathmandu, Kokhana, and Bhaktapur serving over 1,000 earthquake affected children. Art activities, games, sports, and psychosocial support and key lifesaving messages (on WASH, Nutrition, Health, and Child Protection) were provided.
 Additional supplies to establish additional CFS outside the Kathmandu Valley are now in transit.
Gaps & Constraints:
 Access to districts beyond the Kathmandu Valley continues to be a major challenge.
 Advocacy is required to ensure that displaced children, whose families are relocating outside of the Kathmandu Valley, are accepted and integrated into host community schools.",,,,,,
UN Cluster System,Emergency Telecommunications Cluster,ETC,NGO - International,International,Telecom,,,,,"As of OCHA SitRep #8 on May 3:
Response:
 As a common service for responders, the Cluster has established internet connectivity in the Reception and Departure Centre and the Humanitarian Staging Area at the Kathmandu Airport.
 The Cluster is supporting emergency responders with radio programming to ensure communication lines are established for relief distributions.
Constraints:
 Due to delays and re-routing of commercial and charter flights, carrying responders and telecommunication equipment, stabilizing communication services still cannot be established.

May 2 - VSAT equipment prepared for deplyoment on May 3

Apr 30 - 30MB internet up & running at Humanitarian Staging Area

Apr 29 - Full ETC response team on the ground in Kathmandu
The Emergency Telecommunications Cluster (ETC) is a global network of organizations that work together to provide common communications services in humanitarian emergencies. Within 48 hours of a disaster, the ETC provides vital security communications services and voice and internet connectivity. Within four weeks, ETC services are expanded for continued emergency relief.
Staff from all humanitarian organizations can use ETC services, regardless of membership. The World Food Programme (WFP) is the Global ETC lead - has responsibility for coordinating the deployment and implementation of security and data communications services as well as effective inter-agency telecommunications services in emergencies.
ETC Partners are UN agencies and programmes, Governments and government-funded organisations, Non-Governmental Organisations (NGOs). Standby Partners (SBP) work together with ETC through WFP. SBP are organizations, including Government Agencies, NGOs and foundations, who have signed an agreement with WFP to maintain a roster of rapidly deployable staff (within 72H) and equipment to support WFP emergency operations - Profiles available for deployment depend on the individual organisation, but typically include Telecommunications and IT specialists, electricians and project managers.
Access to Situation reports, Project reports, Meeting minutes, Maps and photos is gained by becoming a registered user. To register, email the following information to ictemergency@wfp.org. Registration is restricted to members of the humanitarian community - not all applications are approved. You will be informed of the status of your application within 24 hours.","Common telecommunications services in humanitarian emergencies
VSAT equipment ready for deployment on May 3, 2015",http://ictemergency.wfp.org/,https://www.facebook.com/EmergencyTelecommunicationsCluster,https://twitter.com/ITresponse,NA,"http://ictemergency.wfp.org/
http://ictemergency.wfp.org/web/ictepr/emergency-telecommunications-cluster
http://www.wfp.org/logistics/standby-partners
http://ictemergency.wfp.org/web/ictepr/join-the-community
https://www.facebook.com/emergency.lu/photos/a.666779613373404.1073741834.646105692107463/935350119849684/?type=1
https://www.facebook.com/EmergencyTelecommunicationsCluster/photos/a.622398201132431.1073741828.537761509596101/870599469645635/?type=1
https://www.facebook.com/EmergencyTelecommunicationsCluster/photos/a.622398201132431.1073741828.537761509596101/871224836249765/?type=1"
